Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2011-10-06,8.884775161743164,8.905582519088622,8.759930303303767,8.884775161743164,14670,0,0,BEIJ-B.ST1
2011-10-07,8.86396839619456,8.884775754929207,8.697508811950684,8.697508811950684,2376,0,0,BEIJ-B.ST1
2011-10-10,8.75993066346252,9.0928498234109,8.75993066346252,9.072042465209961,19278,0,0,BEIJ-B.ST1
2011-10-11,9.092849263946134,9.092849263946134,8.926389694213867,8.926389694213867,3240,0,0,BEIJ-B.ST1
2011-10-12,9.030428064200828,9.030428064200828,8.90558319626824,8.947197914123535,7056,0,0,BEIJ-B.ST1
2011-10-13,8.968004705113847,8.968004705113847,8.780737787174965,8.801545143127441,17478,0,0,BEIJ-B.ST1
2011-10-14,8.7391228240192,9.0512346085794,8.7391228240192,8.968005180358887,8370,0,0,BEIJ-B.ST1
2011-10-17,9.051235801730813,9.217695394481503,8.863968849182129,8.863968849182129,25416,0,0,BEIJ-B.ST1
2011-10-18,8.780738830566406,8.780738830566406,8.780738830566406,8.780738830566406,900,0,0,BEIJ-B.ST1
2011-10-19,8.863968849182129,8.863968849182129,8.863968849182129,8.863968849182129,3330,0,0,BEIJ-B.ST1
2011-10-20,8.968006362538835,9.092850521326802,8.863968849182129,8.863968849182129,36666,0,0,BEIJ-B.ST1
2011-10-21,8.884775622691196,8.947197697966068,8.739123399349806,8.780738830566406,102168,0,0,BEIJ-B.ST1
2011-10-24,8.801546401630002,8.947197914123535,8.739123610480355,8.947197914123535,182178,0,0,BEIJ-B.ST1
2011-10-25,8.905583568778118,8.947198288374109,8.822353415219409,8.863968849182129,72630,0,0,BEIJ-B.ST1
2011-10-26,8.884775622691196,8.884775622691196,8.780738830566406,8.780738830566406,47610,0,0,BEIJ-B.ST1
2011-10-27,8.884774948003118,8.988812446594238,8.843160234313322,8.988812446594238,37530,0,0,BEIJ-B.ST1
2011-10-28,9.05123514376715,9.07204250205259,9.00961971282959,9.00961971282959,19998,0,0,BEIJ-B.ST1
2011-10-31,9.072042465209961,9.072042465209961,9.072042465209961,9.072042465209961,1800,0,0,BEIJ-B.ST1
2011-11-01,8.73912203498257,8.843159525231528,8.73912203498257,8.822351455688477,15300,0,0,BEIJ-B.ST1
2011-11-02,9.009619089072507,9.009619089072507,8.884774948003118,8.988812446594238,92484,0,0,BEIJ-B.ST1
2011-11-03,8.947196544004811,9.155271530151367,8.947196544004811,9.155271530151367,4500,0,0,BEIJ-B.ST1
2011-11-04,9.134462844714822,9.300922393798828,9.134462844714822,9.300922393798828,2628,0,0,BEIJ-B.ST1
2011-11-07,9.155271530151367,9.155271530151367,9.155271530151367,9.155271530151367,33300,0,0,BEIJ-B.ST1
2011-11-08,9.134463991764443,9.321730918703958,9.134463991764443,9.19688606262207,105534,0,0,BEIJ-B.ST1
2011-11-09,8.947197914123535,8.947197914123535,8.947197914123535,8.947197914123535,36144,0,0,BEIJ-B.ST1
2011-11-10,8.947197914123535,8.947197914123535,8.947197914123535,8.947197914123535,0,0,0,BEIJ-B.ST1
