Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2019-08-15,66.25,67.5,63.5,67.5,15996,0,0,BICO.ST
2019-08-16,64.75,67.5,64.75,67.5,14180,0,0,BICO.ST
2019-08-19,67.5,67.5,63.0,67.5,11340,0,0,BICO.ST
2019-08-20,67.5,67.75,65.75,67.5,6208,0,0,BICO.ST
2019-08-21,66.5,67.5,66.25,67.0,10648,0,0,BICO.ST
2019-08-22,67.0,67.0,65.25,67.0,5488,0,0,BICO.ST
2019-08-23,67.0,67.0,64.5,67.0,5900,0,0,BICO.ST
2019-08-26,66.75,66.75,63.25,66.75,11784,0,0,BICO.ST
2019-08-27,66.75,67.0,65.25,67.0,4828,0,0,BICO.ST
2019-08-28,66.75,67.0,65.5,67.0,7200,0,0,BICO.ST
2019-08-29,67.0,67.0,64.5,66.0,41624,0,0,BICO.ST
2019-08-30,66.0,66.75,65.25,66.25,9572,0,0,BICO.ST
2019-09-02,66.25,66.75,65.75,66.75,6548,0,0,BICO.ST
2019-09-03,66.75,69.5,66.75,68.75,42440,0,0,BICO.ST
2019-09-04,68.0,68.5,66.0,67.75,49440,0,0,BICO.ST
2019-09-05,67.75,68.5,65.75,68.0,8284,0,0,BICO.ST
2019-09-06,67.0,70.0,66.5,70.0,7544,0,0,BICO.ST
2019-09-09,68.75,69.5,68.0,69.5,14148,0,0,BICO.ST
2019-09-10,68.25,68.75,66.0,68.75,11064,0,0,BICO.ST
2019-09-11,68.75,70.5,67.25,70.5,7796,0,0,BICO.ST
2019-09-12,70.75,72.0,68.25,72.0,24864,0,0,BICO.ST
2019-09-13,71.75,72.75,69.5,71.25,37552,0,0,BICO.ST
2019-09-16,70.5,72.0,67.25,72.0,19184,0,0,BICO.ST
2019-09-17,69.0,72.0,68.25,71.5,23020,0,0,BICO.ST
2019-09-18,71.5,72.25,69.75,71.5,50252,0,0,BICO.ST
2019-09-19,71.25,72.5,70.0,72.5,9572,0,0,BICO.ST
2019-09-20,72.0,72.0,69.75,70.5,33260,0,0,BICO.ST
2019-09-23,70.75,71.0,68.75,70.25,10752,0,0,BICO.ST
2019-09-24,68.75,70.25,68.75,70.0,6116,0,0,BICO.ST
2019-09-25,70.25,70.5,69.0,70.5,4008,0,0,BICO.ST
2019-09-26,69.75,70.25,69.25,70.0,9628,0,0,BICO.ST
2019-09-27,69.0,70.0,68.5,69.0,33644,0,0,BICO.ST
2019-09-30,69.0,69.0,66.25,68.0,13848,0,0,BICO.ST
2019-10-01,68.0,68.5,66.75,68.0,28792,0,0,BICO.ST
2019-10-02,68.0,68.0,66.25,66.75,26980,0,0,BICO.ST
2019-10-03,66.0,66.25,65.25,65.75,14816,0,0,BICO.ST
2019-10-04,65.25,66.25,64.0,66.25,20400,0,0,BICO.ST
2019-10-07,66.0,67.0,64.25,67.0,21760,0,0,BICO.ST
2019-10-08,67.5,67.5,62.75,65.5,25088,0,0,BICO.ST
2019-10-09,65.25,65.25,62.75,64.0,17712,0,0,BICO.ST
2019-10-10,63.75,63.75,62.5,62.75,50428,0,0,BICO.ST
2019-10-11,62.25,63.5,58.75,63.5,9440,0,0,BICO.ST
2019-10-14,63.75,65.0,61.5,65.0,22768,0,0,BICO.ST
2019-10-15,65.0,67.0,64.0,66.75,18220,0,0,BICO.ST
2019-10-16,68.0,68.0,65.25,68.0,14288,0,0,BICO.ST
2019-10-17,68.0,68.0,65.25,68.0,8696,0,0,BICO.ST
2019-10-18,68.0,68.5,66.25,68.5,19204,0,0,BICO.ST
2019-10-21,66.75,68.75,66.75,68.75,21040,0,0,BICO.ST
2019-10-22,68.75,70.5,66.75,69.0,25496,0,0,BICO.ST
2019-10-23,69.0,69.5,68.0,69.5,7924,0,0,BICO.ST
2019-10-24,69.5,69.5,65.5,68.5,27112,0,0,BICO.ST
2019-10-25,69.0,71.25,67.5,69.25,15232,0,0,BICO.ST
2019-10-28,69.25,70.75,69.25,70.5,11456,0,0,BICO.ST
2019-10-29,70.5,70.5,69.5,70.5,6600,0,0,BICO.ST
2019-10-30,70.5,70.75,69.25,70.5,11048,0,0,BICO.ST
2019-10-31,70.5,70.5,69.25,70.25,6512,0,0,BICO.ST
2019-11-01,70.5,71.0,70.25,70.75,4152,0,0,BICO.ST
2019-11-04,70.75,72.5,69.75,71.0,16956,0,0,BICO.ST
2019-11-05,71.0,71.0,67.75,70.75,11652,0,0,BICO.ST
2019-11-06,70.75,71.0,69.25,71.0,24188,0,0,BICO.ST
2019-11-07,70.75,71.0,69.5,70.75,10732,0,0,BICO.ST
2019-11-08,70.5,70.75,70.0,70.75,11188,0,0,BICO.ST
2019-11-11,71.0,71.25,68.75,71.25,24504,0,0,BICO.ST
2019-11-12,71.25,71.25,68.75,70.75,16280,0,0,BICO.ST
2019-11-13,70.75,70.75,69.75,70.75,6252,0,0,BICO.ST
2019-11-14,70.75,70.75,70.25,70.75,7148,0,0,BICO.ST
2019-11-15,71.0,71.0,70.0,70.5,9916,0,0,BICO.ST
2019-11-18,70.5,70.5,69.25,70.5,6040,0,0,BICO.ST
2019-11-19,70.5,70.5,69.5,70.5,10224,0,0,BICO.ST
2019-11-20,72.5,74.5,71.0,73.0,93920,0,0,BICO.ST
2019-11-21,73.25,74.75,73.25,74.25,43540,0,0,BICO.ST
2019-11-22,74.25,74.5,73.25,73.75,15524,0,0,BICO.ST
2019-11-25,73.75,75.0,73.25,74.5,18784,0,0,BICO.ST
2019-11-26,75.0,75.0,73.75,74.5,16804,0,0,BICO.ST
2019-11-27,73.75,74.5,71.25,72.25,25552,0,0,BICO.ST
2019-11-28,72.0,73.75,72.0,73.75,7628,0,0,BICO.ST
2019-11-29,73.75,74.0,73.25,74.0,8288,0,0,BICO.ST
2019-12-02,74.0,74.0,73.0,73.75,5060,0,0,BICO.ST
2019-12-03,73.75,74.0,72.5,73.75,9956,0,0,BICO.ST
2019-12-04,73.75,74.0,73.25,74.0,9120,0,0,BICO.ST
2019-12-05,74.0,75.5,72.75,75.5,14640,0,0,BICO.ST
2019-12-06,75.5,77.75,73.5,77.0,17804,0,0,BICO.ST
2019-12-09,78.75,79.75,77.75,78.0,28116,0,0,BICO.ST
