Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2016-10-06,88.75,89.75,86.75,87.25,6842,0,0,ENEA.ST
2016-10-07,88.5,89.0,86.75,87.75,14990,0,0,ENEA.ST
2016-10-10,86.25,87.5,86.25,87.25,2243,0,0,ENEA.ST
2016-10-11,86.75,86.75,84.0,85.25,8538,0,0,ENEA.ST
2016-10-12,85.25,85.25,82.5,82.5,10667,0,0,ENEA.ST
2016-10-13,82.5,82.75,81.25,82.0,3847,0,0,ENEA.ST
2016-10-14,81.25,82.0,80.5,81.25,4328,0,0,ENEA.ST
2016-10-17,81.25,81.25,80.0,80.0,9052,0,0,ENEA.ST
2016-10-18,80.5,81.25,80.5,81.25,4512,0,0,ENEA.ST
2016-10-19,81.25,82.75,80.5,80.5,4728,0,0,ENEA.ST
2016-10-20,80.0,80.0,79.25,79.75,6965,0,0,ENEA.ST
2016-10-21,79.75,83.0,79.75,82.5,5592,0,0,ENEA.ST
2016-10-24,82.0,88.0,82.0,85.75,21067,0,0,ENEA.ST
2016-10-25,85.0,87.0,85.0,86.25,7027,0,0,ENEA.ST
2016-10-26,86.75,86.75,83.75,83.75,13756,0,0,ENEA.ST
2016-10-27,83.0,84.75,82.0,83.5,3733,0,0,ENEA.ST
2016-10-28,83.5,83.5,82.25,82.75,2217,0,0,ENEA.ST
2016-10-31,82.25,82.75,80.75,81.0,2183,0,0,ENEA.ST
2016-11-01,83.0,85.0,83.0,83.0,2647,0,0,ENEA.ST
2016-11-02,83.0,83.75,81.0,82.0,3231,0,0,ENEA.ST
2016-11-03,86.0,90.0,85.0,87.0,36774,0,0,ENEA.ST
2016-11-04,90.5,90.5,85.25,85.25,12683,0,0,ENEA.ST
2016-11-07,86.0,87.0,85.75,86.75,9857,0,0,ENEA.ST
2016-11-08,89.0,89.5,87.25,88.0,18399,0,0,ENEA.ST
2016-11-09,80.75,86.25,80.75,85.5,23417,0,0,ENEA.ST
2016-11-10,87.5,91.0,86.75,88.5,14521,0,0,ENEA.ST
2016-11-11,87.0,89.75,86.75,89.75,4565,0,0,ENEA.ST
2016-11-14,90.75,90.75,89.75,90.5,8839,0,0,ENEA.ST
2016-11-15,87.0,91.0,87.0,91.0,3041,0,0,ENEA.ST
2016-11-16,90.5,91.0,87.25,87.75,7156,0,0,ENEA.ST
2016-11-17,88.25,89.0,86.25,89.0,3120,0,0,ENEA.ST
2016-11-18,90.0,90.0,88.0,88.5,8410,0,0,ENEA.ST
2016-11-21,90.0,90.0,88.5,88.5,2015,0,0,ENEA.ST
2016-11-22,90.0,90.0,87.5,88.25,26357,0,0,ENEA.ST
2016-11-23,89.5,89.5,88.0,88.5,3658,0,0,ENEA.ST
2016-11-24,88.5,90.0,88.5,88.75,2382,0,0,ENEA.ST
