Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2016-10-18,59.04038692355652,59.696389691839606,58.38438415527344,58.38438415527344,24961,0,0,FAG.ST
2016-10-19,58.515594079637616,62.97642199003842,57.99079039083133,62.71402359008789,36929,0,0,FAG.ST
2016-10-20,62.84521116652015,65.20682388490349,62.18920839906967,62.45160675048828,22308,0,0,FAG.ST
2016-10-21,63.76361844400716,63.894817618213835,62.18920768681539,63.107608795166016,17559,0,0,FAG.ST
2016-10-24,63.763611293927795,63.89481045342257,62.05800155378647,62.8452033996582,8833,0,0,FAG.ST
2016-10-25,63.23881501613964,64.81322577726162,62.84521060363318,63.37001419067383,13867,0,0,FAG.ST
2016-10-26,62.84520819252854,63.3700117594347,61.92680022821684,62.058006286621094,8344,0,0,FAG.ST
2016-10-27,62.84520819252854,62.84520819252854,62.0580062866211,62.058006286621094,2092,0,0,FAG.ST
2016-10-28,62.05801144812075,62.05801144812075,60.352394547138125,60.48360061645508,7116,0,0,FAG.ST
2016-10-31,61.92680100989841,61.92680100989841,60.35239028930664,60.35239028930664,6827,0,0,FAG.ST
2016-11-01,60.35239028930664,61.664402667584966,58.64678039755815,60.35239028930664,11486,0,0,FAG.ST
2016-11-02,60.35239129047496,61.53320451718474,58.646781370432606,59.565189361572266,11400,0,0,FAG.ST
2016-11-03,59.958790433717766,59.958790433717766,58.38437977462585,58.64677810668945,10946,0,0,FAG.ST
2016-11-04,58.646778990621236,58.646778990621236,57.203570920260624,57.72837448120117,4081,0,0,FAG.ST
2016-11-07,57.72837513741931,63.763616156840236,57.72837513741931,62.058006286621094,14903,0,0,FAG.ST
2016-11-08,62.058014389826766,62.97641558515479,61.53321075439453,61.53321075439453,10013,0,0,FAG.ST
2016-11-09,57.72837295463097,59.30278015136718,55.76036137537195,59.30278015136719,153674,0,0,FAG.ST
2016-11-10,59.43398540740114,60.22118727298173,55.62915802001953,55.62915802001953,59709,0,0,FAG.ST
2016-11-11,56.28516596653821,56.54756774493714,52.742740235926746,53.26754379272461,70693,0,0,FAG.ST
2016-11-14,54.31715393066406,55.49796372143185,54.054752137654766,54.31715393066406,33698,0,0,FAG.ST
2016-11-15,55.62916225305147,55.62916225305147,54.710757710354834,55.1043586730957,12270,0,0,FAG.ST
2016-11-16,55.7603641211862,56.41636686509227,54.84195614637548,56.2851676940918,30095,0,0,FAG.ST
2016-11-17,55.23556038599036,57.203572056378114,55.23556038599036,56.022762298583984,32473,0,0,FAG.ST
2016-11-18,55.891563127969,56.94117027069629,55.76036395735401,56.022762298583984,22067,0,0,FAG.ST
2016-11-21,56.678772418822966,56.94117422271687,55.76036782742034,56.153968811035156,5467,0,0,FAG.ST
2016-11-22,56.15396549282714,56.15396549282714,55.23556095569419,55.7603645324707,356050,0,0,FAG.ST
2016-11-23,56.153964913650825,56.153964913650825,55.891563127969,56.022762298583984,3592,0,0,FAG.ST
2016-11-24,55.89156768273492,55.89156768273492,55.1043622615378,55.366764068603516,8034,0,0,FAG.ST
2016-11-25,55.1043547577371,55.89156007173703,55.1043547577371,55.49795913696289,1087,0,0,FAG.ST
2016-11-28,55.1043622615378,55.497966694362425,54.841960454472094,55.366764068603516,19063,0,0,FAG.ST
2016-11-29,55.366755782893115,56.94116638967467,55.10435401509619,56.54756546020508,211673,0,0,FAG.ST
2016-11-30,56.678768485014466,56.678768485014466,55.629161342287176,56.022762298583984,6293,0,0,FAG.ST
2016-12-01,57.72837622315667,58.51558158832144,55.629161916050634,55.7603645324707,7928,0,0,FAG.ST
2016-12-02,55.62916370525776,57.990779876708984,55.62916370525776,57.990779876708984,10333,0,0,FAG.ST
2016-12-05,57.46597338972206,59.827585997817415,56.41636625525665,57.07237243652344,6352,0,0,FAG.ST
2016-12-06,56.941169253372074,58.1219755456178,56.941169253372074,57.33477020263672,3465,0,0,FAG.ST
2016-12-07,57.33477017278912,57.85957717895507,57.203571004586465,57.85957717895508,3544,0,0,FAG.ST
2016-12-08,57.990780680021565,58.121979858026954,56.678771677707495,56.80997085571289,5719,0,0,FAG.ST
2016-12-09,56.28516720393338,56.678768157958984,55.235560067262675,56.678768157958984,8778,0,0,FAG.ST
2016-12-12,56.67876865154506,56.67876865154506,55.891563292186675,56.2851676940918,13636,0,0,FAG.ST
