Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2014-11-24,51.53083597430746,51.92722702026367,51.13444492835125,51.92722702026367,330370,0,0,HPOL-B.ST
2014-11-25,51.92723170523408,52.95785093708353,51.7686776919255,52.12542724609375,474110,0,0,HPOL-B.ST
2014-11-26,52.244345812243296,52.52181835992692,51.847954730281586,52.20470428466797,358150,0,0,HPOL-B.ST
2014-11-27,52.402893999280195,53.39387159400352,52.402893999280195,52.68036651611328,350190,0,0,HPOL-B.ST
2014-11-28,52.68037149190567,52.72001301881774,51.57048131974143,52.006507873535156,725120,0,0,HPOL-B.ST
2014-12-01,52.24434203228519,52.997482614142406,51.72903245332881,52.28397750854492,898560,0,0,HPOL-B.ST
2014-12-02,52.601086176463326,54.54340576779329,52.601086176463326,54.38484573364258,901340,0,0,HPOL-B.ST
2014-12-03,54.305574907696254,56.0893346674381,53.98846085183042,55.772220611572266,1421610,0,0,HPOL-B.ST
2014-12-04,55.77221814888006,56.4064462326066,54.305572509765625,54.305572509765625,856670,0,0,HPOL-B.ST
2014-12-05,54.82088358458922,55.494747161865234,54.78124206009463,55.494747161865234,863880,0,0,HPOL-B.ST
2014-12-08,55.53438698280347,55.69294097902321,54.97943589913987,55.25690841674805,435090,0,0,HPOL-B.ST
2014-12-09,54.70196533203126,55.25691038703519,54.30557427890059,54.70196533203125,630680,0,0,HPOL-B.ST
2014-12-10,54.9794372819502,56.208251953125,54.781241757466994,56.208251953125,836390,0,0,HPOL-B.ST
2014-12-11,56.128976118469396,56.168611595120574,55.01907994862838,55.61366653442383,1073620,0,0,HPOL-B.ST
2014-12-12,55.13799199920907,55.61366000228603,55.019073486328125,55.019073486328125,345410,0,0,HPOL-B.ST
2014-12-15,55.05871689921785,55.45510796702632,54.147022282016515,54.22629928588867,504620,0,0,HPOL-B.ST
2014-12-16,54.38485803767417,55.098363231658674,53.67135284368967,54.58305358886719,632740,0,0,HPOL-B.ST
2014-12-17,54.147027005311486,54.86052615084777,53.82991291371301,54.58305358886719,374640,0,0,HPOL-B.ST
2014-12-18,55.73258213327443,56.32716868783234,55.37582657147135,55.811859130859375,733500,0,0,HPOL-B.ST
2014-12-19,56.24789127940722,56.287532806396484,55.296555116143026,56.287532806396484,656530,0,0,HPOL-B.ST
2014-12-22,56.68391926224167,58.824428479339005,56.68391926224167,58.66587448120117,836080,0,0,HPOL-B.ST
2014-12-23,58.90371322631836,58.943348702772695,58.15056659231591,58.90371322631836,496760,0,0,HPOL-B.ST
2014-12-29,59.22082978760055,59.22082978760055,58.58660763667514,59.18119430541992,804300,0,0,HPOL-B.ST
2014-12-30,59.18119083945214,59.18119083945214,58.11093610808107,58.38840866088867,654690,0,0,HPOL-B.ST
2015-01-02,58.38840280423805,59.220820379165204,58.26948427969205,58.784793853759766,349300,0,0,HPOL-B.ST
2015-01-05,58.745157906309046,59.26046752929688,58.428043826897465,59.260467529296875,220630,0,0,HPOL-B.ST
2015-01-07,58.74515766004573,58.90371772331082,57.318153381347656,57.318153381347656,1159700,0,0,HPOL-B.ST
2015-01-08,58.11093579593386,59.26046752929688,58.11093579593386,59.260467529296875,539140,0,0,HPOL-B.ST
2015-01-09,58.66588299905092,59.775779292506385,58.46768744837845,58.943355560302734,574640,0,0,HPOL-B.ST
2015-01-12,58.9433585722124,60.608200073242195,58.9433585722124,60.60820007324219,724780,0,0,HPOL-B.ST
2015-01-13,60.41000451244225,60.885678697120916,59.89470089312122,60.60820007324219,816890,0,0,HPOL-B.ST
2015-01-14,60.29108649209581,60.88567312003187,59.53793980097469,60.2118034362793,496750,0,0,HPOL-B.ST
2015-01-15,60.84602453186449,61.40096956749933,59.57757441580823,61.20277404785156,687640,0,0,HPOL-B.ST
